danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,label
0.546,0.651,1,-7.601,1,0.3,0.000739,0.0,0.235,0.646,77.878,3aGibUHhQyBsyumYHylw0K,4,saved
0.629,0.578,1,-4.704,1,0.0428,0.2,0.0,0.151,0.211,79.94,2dJ4rGtsOHOgvTQawsCRtg,4,saved
0.839,0.521,7,-10.45,1,0.166,0.245,0.00545,0.607,0.33,105.992,76gUmNLXGQVOsGhfcshkFP,4,saved
0.626,0.68,0,-7.64,1,0.112,0.517,0.0,0.114,0.227,75.978,3kgqHVqfiabABjaFi9Tnhn,4,saved
0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,4kbj5MwxO1bq9wjT5g9HaA,4,saved
0.788,0.765,2,-3.93,1,0.439,0.276,0.0,0.216,0.667,144.046,5s6pKnF3ZPtuqvEx1i1V7U,4,saved
0.488,0.319,5,-8.519,1,0.031,0.686,2.6e-05,0.117,0.195,142.164,711WfDztCZpnmJg7Uvwod3,3,saved
0.397,0.172,6,-15.698,0,0.0445,0.841,6.78e-05,0.108,0.123,101.275,06UZYUYbMqpaawLgoKwSw9,4,saved
0.555,0.481,10,-7.419,0,0.0322,0.124,0.0,0.101,0.0981,107.806,4zLOwx1yRJXWkHKt1XzF1p,4,saved
0.633,0.749,0,-7.915,1,0.0311,0.065,0.0207,0.0676,0.491,99.98,04Jdmzb6gfuSZxGfAFc2NH,4,saved
0.644,0.84,9,-3.753,1,0.172,0.39,0.0,0.246,0.818,95.11,40L4hEqXt6myCk6VcB9bDq,4,saved
0.522,0.733,4,-5.404,0,0.0321,0.000776,0.557,0.159,0.186,125.993,6BFxwgQOv5RZvQngoaQ1ur,4,saved
0.504,0.476,3,-11.578,1,0.0411,0.666,0.0,0.0898,0.697,76.72,0oLFEvq9bcEobIpyktNL1O,4,saved
0.726,0.727,9,-4.919,1,0.0969,0.363,0.0,0.231,0.815,77.543,2zkhW5YaOPPaPgNWXmjTjF,4,saved
0.9,0.365,10,-6.395,0,0.235,0.147,0.185,0.179,0.136,135.003,6HR1z11h0ROUlWP4Kx8Z7G,4,saved
0.574,0.803,4,-3.17,0,0.186,0.102,4.15e-06,0.0861,0.647,97.967,2FK1qmw8XNBqUe5CcgTVnE,4,saved
0.703,0.666,7,-8.901,0,0.0356,0.587,5.11e-06,0.0924,0.943,98.214,5yDC62x6y5vZc32PzULCeU,4,saved
0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,0prNGof3XqfTvNDxHonvdK,4,saved
0.547,0.462,1,-6.04,1,0.308,0.0972,5.29e-06,0.0933,0.16,111.524,1BGIZCaDu29MK8DsykL7Hb,4,saved
0.687,0.622,8,-5.338,1,0.0987,0.0406,0.0,0.0653,0.624,93.994,1zTW7xRtxmprjTUDi6bAHg,4,saved
0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,3CRDbSIZ4r5MsZ0YwxuEkn,4,saved
0.588,0.632,8,-9.026,1,0.275,0.0339,0.00936,0.115,0.444,145.979,5UdT2WHEhSjjH5ZWEyIdto,4,saved
0.637,0.579,10,-7.991,0,0.157,0.64,0.0,0.237,0.457,80.085,5bhAv8JVLW77s3VjxGt4Q6,4,saved
0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,5fVZC9GiM4e8vu99W0Xf6J,4,saved
0.743,0.648,0,-5.116,1,0.296,0.317,0.0,0.402,0.688,85.933,0WGIBojlsV9GT4A5xwjkE4,4,saved
0.61,0.229,11,-12.36,0,0.0333,0.558,0.0413,0.113,0.19,111.887,2fkeWbM6iqTw7oGHTYm2lw,4,saved
0.391,0.626,11,-9.286,0,0.071,0.0855,0.758,0.0667,0.217,160.222,18hCeq7QyzfTrcbjOcmg6z,4,saved
0.496,0.238,1,-11.026,1,0.0301,0.958,0.0109,0.0875,0.349,175.96,78DwRIo6Vj6wqteyerGetr,4,saved
0.631,0.587,1,-9.439,0,0.0622,0.343,0.0044,0.205,0.457,67.648,0faYOYKrE2vel4dQQqgXkf,4,saved
0.769,0.632,10,-4.228,0,0.0537,0.0325,0.0,0.116,0.294,131.932,4cg1yakyRSIOjxKM2I7J1q,4,saved
0.455,0.54,8,-8.363,1,0.0971,0.00982,0.0,0.0972,0.0395,171.677,3BUKPSbAh41Sl9jOl5mLMm,4,saved
0.747,0.76,1,-4.294,1,0.187,0.448,0.0,0.153,0.682,99.975,3Lfiu5sZ4M4B6JaKMBc0FU,4,saved
0.567,0.648,1,-4.236,0,0.195,0.49,0.915,0.113,0.293,178.549,7G4dES17iyIIUXrhNmkGmZ,4,saved
0.517,0.65,11,-4.896,0,0.296,0.0498,0.0,0.779,0.418,131.401,5VKsvhjnjQ3IAspPjGiNPf,5,saved
0.47,0.698,7,-5.646,0,0.159,0.018,0.0,0.343,0.426,164.393,2MaDN1zq0vftSQ21bGBSHq,4,saved
0.553,0.657,1,-8.219,1,0.0405,0.335,0.000648,0.228,0.555,107.889,15DrrIod12Tc2IoMaHiwlQ,4,saved
0.93,0.486,1,-6.361,1,0.367,0.0303,0.0,0.0716,0.334,111.062,4QfVMnOYuE5Ah7E4g1p6Bx,4,saved
